Sample Name,Number_of_Microglia_CD68_Positive,Number_of_Microglia_CD107a_Positive,Number_of_Microglia_C5ar1_Positive,Number_of_Microglia_Total,Mean_Fluorescent_Intensity_of_CD11b_in_CD68_Positive_Cells,Mean_Fluorescent_Intensity_of_CD11b_in_CD107a_Positive_Cells,Mean_Fluorescent_Intensity_of_CD11b_in_C5aR1_Positive_Cells,Mean_Fluorescent_Intensity_of_CD11b_Average,Mean_Fluorescent_Intensity_of_CD11b_Standardized_to_Sham,Mean_Fluorescent_Intensity_of_CD45_in_CD68_Positive_Cells,Mean_Fluorescent_Intensity_of_CD45_in_CD107a_Positive_Cells,Mean_Fluorescent_Intensity_of_CD45_in_C5aR1_Positive_Cells,Mean_Fluorescent_Intensity_of_CD45_Average,Mean_Fluorescent_Intensity_of_CD45_Standardized_to_Sham,Mean_Fluorescent_Intensity_of_CD68_in_Microglial_Population,Mean_Fluorescent_Intensity_of_CD107a_in_Microglial_Population,Mean_Fluorescent_Intensity_of_C5aR1_in_Microglial_Population
9_Microglia_14months,7298,5428,3696,16422,1471,1947,1282,1566.666667,1.029685617,727,1142,436,768.3333333,1.0420434,1.370044053,1.48406064,1.092456609
11_Microglia_14months,4282,4260,1999,10541,1687,2031,837,1518.333333,1.021758636,491,907,1474,957.3333333,1.023521026,1.045796927,1.054761622,1.029116945
35_Microglia_14months,5041,5694,1590,12325,1602,1901,858,1453.666667,0.978241364,505,845,1390,913.3333333,0.976478974,0.954203073,0.945238378,0.970883055
36_Microglia_14months,3543,3981,2330,9854,1893,2297,1653,1947.666667,1.039402295,504,864,1121,829.6666667,0.994208109,0.98072747,0.912454748,1.076734794
37_Microglia_14months,4200,5099,4242,13541,1718,2166,1516,1800,0.960597705,496,888,1134,839.3333333,1.005791891,1.01927253,1.087545252,0.923265206
41_Microglia_14months,3779,4759,3518,12056,1740,2204,1633,1859,0.975511632,436,860,1127,807.6666667,0.98336039,1.170326223,1.199564818,0.82645232
43_Microglia_14months,3510,4109,3691,11310,1831,2233,1663,1909,1.001749169,442,852,1122,805.3333333,0.980519481,1.182559598,1.144041567,0.890999878
44_Microglia_14months,6758,6947,3754,17459,1319,1881,1396,1532,1.003055434,245,754,507,502,0.946574481,1.238858609,1.116039533,0.997915665
45_Microglia_14months,5453,8425,4046,17924,1358,1852,1381,1530.333333,1.001964208,306,712,480,499.3333333,0.941546197,1.158704713,1.120445344,1.032868366
48_Microglia_14months,3994,3867,1889,9750,1593,1974,874,1480.333333,1.052619104,446,829,1288,854.3333333,1.052566735,1.055375598,1.155384772,1.017763578
66_Microglia_14months,5466,4412,1966,11844,1516,1806,838,1386.666667,0.986015644,396,798,1321,838.3333333,1.032854209,1.070492056,0.976282573,0.967667732
67_Microglia_14months,4340,4540,2803,11683,1794,2225,1639,1886,0.989679902,458,921,1138,839,1.02150974,1.200752823,1.099848061,0.932894897
69_Microglia_14months,5941,7982,2444,16367,1544,1906,1331,1593.666667,1.03250189,436,569,354,453,0.958054283,1.02265075,1.046508879,1.157692922
70_Microglia_14months,4668,7849,2728,15245,1468,1893,1139,1500,0.971817298,424,572,359,451.6666667,0.955234403,1.010407101,1.18766699,1.11711136
71_Microglia_14months,5476,9004,5638,20118,1507,1940,1277,1574.666667,1.062886714,695,1085,376,718.6666667,1.016981132,1.118763797,1.168267341,1.127988231
72_Microglia_14months,7314,6095,2599,16008,1463,1892,1233,1529.333333,1.032287096,766,1095,379,746.6666667,1.056603774,1.039735099,1.090761022,1.087164399
74_Microglia_14months,4739,4673,3157,12569,1476,1900,829,1401.666667,0.996681678,405,801,1250,818.6666667,1.00862423,0.938454419,1.007176303,0.936485623
75_Microglia_14months,4722,4379,3486,12587,1816,2149,1596,1853.666667,0.972712961,479,949,1089,839,1.02150974,1.024780427,1.046463206,0.837900378
82_Microglia_14months,5503,5947,1871,13321,1560,1808,865,1411,1.003318322,362,775,1277,804.6666667,0.99137577,1.061545581,0.992823697,1.063514377
83_Microglia_14months,4971,5458,2429,12858,1995,2305,1573,1957.666667,1.027287039,444,915,1052,803.6666667,0.97849026,0.975219573,0.953536794,1.162099622
88_Microglia_14months,6521,6667,3472,16660,1448,1843,1384,1558.333333,1.020296814,350,711,484,515,0.971087366,1.03558833,1.003810431,0.981561648
89_Microglia_14months,7804,6664,3432,17900,1375,1788,1326,1496.333333,0.979703186,406,765,466,545.6666667,1.028912634,0.96441167,0.996189569,1.018438352
90_Microglia_14months,8024,6865,2105,16994,1533,1900,1229,1554,1.006802721,445,575,347,455.6666667,0.963694043,1.018059382,1.00026009,1.040741332
93_Microglia_14months,3924,9448,3173,16545,1504,1842,1253,1533,0.993197279,463,576,431,490,1.036305957,0.981940618,0.99973991,0.959258668
97_Microglia_14months,6419,8051,3269,17739,1452,1818,1196,1488.666667,1.00483744,723,1045,401,723,1.023113208,1.028697572,1.0126369,0.993012137
98_Microglia_14months,6151,5993,3700,15844,1427,1796,1200,1474.333333,0.99516256,697,992,382,690.3333333,0.976886792,0.971302428,0.9873631,1.006987863
111_Microglia_14months,5531,6672,2384,14587,1556,1878,1247,1560.333333,1.025523058,802,1091,380,757.6666667,1.027576854,1.05628977,1.143525078,1.064085447
117_Microglia_14months,5814,13896,2249,21959,1520,1867,1233,1540,1.002060514,475,567,405,482.3333333,0.977042539,1.035052189,1.049750484,1.014836795
118_Microglia_14months,8226,8961,3028,20215,1505,1851,1245,1533.666667,0.997939486,515,577,423,505,1.022957461,0.964947811,0.950249516,0.985163205
119_Microglia_14months,5427,6388,4020,15835,1485,1804,1221,1503.333333,0.988060028,752,1033,387,724,0.981916817,0.989231522,0.949135733,0.969626168
120_Microglia_14months,6820,7191,2581,16592,1547,1843,1229,1539.666667,1.011939972,793,1073,386,750.6666667,1.018083183,1.010768478,1.050864267,1.030373832
